access	/ˈækˌsɛs/	v. 获取 n. 接近，入口
interfere	/ˌɪnɝˈfɪɹ/, /ˌɪntɝˈfɪɹ/	v. 干涉，干预；妨碍
glue	/ˈɡɫu/	n. 胶，胶水 v. 胶合
imaginary	/ˌɪˈmædʒəˌnɛɹi/	adj. 想象中的，假想的
contemporary	/kənˈtɛmpɝˌɛɹi/	adj. 当代的；同时代的
at	/ˈæt/	prep. 在…里；在…时
crow	/ˈkɹoʊ/	n. 鸦，乌鸦 v. 啼
depend	/dɪˈpɛnd/	v. 依靠，依赖；相信
item	/ˈaɪtəm/	n. 一项，一件，一条
entire	/ɪnˈtaɪɝ/	adj. 全部的，整个的
charge	/ˈtʃɑɹdʒ/	v. 索价；控告 n. 费用
behavior	/bɪˈheɪvjɝ/	n. 行为，举止，态度
provided	/pɹəˈvaɪdɪd/	conj. 以…为条件
thus	/ˈðəs/	adv. 如此，这样；因而
agreement	/əˈɡɹimənt/	n. 协定，协议；同意
device	/dɪˈvaɪs/	n. 器械，装置
clothing	/ˈkɫoʊðɪŋ/	n. 衣服
cube	/ˈkjub/	n. 立方形；立方
marriage	/ˈmɛɹɪdʒ/	n. 结婚，婚姻；婚礼
kingdom	/ˈkɪŋdəm/	n. 王国；界
bow	/ˈbaʊ/, /ˈboʊ/	n. 鞠躬；弓；蝴蝶结
vessel	/ˈvɛsəɫ/	n. 船，飞船；管；容器
automatic	/ˌɔtəˈmætɪk/, /ˌɔtoʊˈmætɪk/	adj. 自动的；机械的
trace	/ˈtɹeɪs/	n. 痕迹；丝毫 v. 跟踪
overnight	/ˈoʊvɝˈnaɪt/	adv. 一夜；突然
feather	/ˈfɛðɝ/	n. 羽毛；翎毛；羽状物
Monday	/ˈmənˌdeɪ/, /ˈməndi/	n. 星期一
export	/ˈɛkspɔɹt/	v. 出口；输出
badminton	/ˈbædˌmɪntən/	n. 羽毛球
arrival	/ɝˈaɪvəɫ/	n. 到达；到来；到达者
knock	/ˈnɑk/	v. 敲，击，打 n. 敲，击，打
fifteen	/ˈfɪfˈtin/, /fɪfˈtin/	num. 十五；十五个
aunt	/ˈænt/, /ˈɔnt/	n. 伯母，婶母，姑母
motive	/ˈmoʊtɪv/	n. 动机，目的
capture	/ˈkæptʃɝ/	v. 捕获，俘获；夺得
handful	/ˈhændˌfʊɫ/	n. 一把；少数，一小撮
being	/ˈbiɪŋ/	n. 存在；生物；生命
contract	/ˈkɑnˌtɹækt/, /kənˈtɹækt/	n. 契约，合同
collective	/kəˈɫɛktɪv/	adj. 集体的；集合性的
building	/ˈbɪɫdɪŋ/	n. 建筑物，大楼；建筑
crew	/ˈkɹu/	n. 全体船员
postman	/ˈpoʊsmən/, /ˈpoʊstmən/	n. 邮递员
corresponding	/ˌkɔɹəˈspɑndɪŋ/	adj. 相应的；符合的
restless	/ˈɹɛstɫəs/	adj. 不安定的，焦虑的
tempt	/ˈtɛmpt/	v. 引诱，诱惑；吸引
fix	/ˈfɪks/	v. 决定；使固定
classroom	/ˈkɫæsˌɹum/	n. 教室，课堂
corridor	/ˈkɔɹədɝ/, /ˈkɔɹɪdɝ/	n. 走廊，回廊，通路
daughter	/ˈdɔtɝ/	n. 女儿
out	/ˈaʊt/	adv. 出，在外；现出来
outdoors	/ˈaʊtˈdɔɹz/	adv. 在户外，在野外
universal	/ˌjunəˈvɝsəɫ/	adj. 全世界的；全体的；共同的；普遍的
garage	/ɡɝˈɑʒ/	n. 车库；加油站
mark	/ˈmɑɹk/	n. 斑点；记号 v. 标明
outcome	/ˈaʊtˌkəm/	n. 结果，后果，成果
duration	/ˈdʊˈɹeɪʃən/	n. 持续，持久
consideration	/kənˌsɪdɝˈeɪʃən/	n. 考虑，思考；体贴
mould	/ˈmoʊɫd/	n. 模子，模型 v. 浇铸
already	/ɔˈɹɛdi/, /ɔɫˈɹɛdi/	adv. 早已，已经
tune	/ˈtun/	n. 调子 v. 调音
logical	/ˈɫɑdʒɪkəɫ/	adj. 逻辑的；符合逻辑的
book	/ˈbʊk/	n. 书，书籍 v. 预定
heavy	/ˈhɛvi/	adj. 重的；大的；充满的
loan	/ˈɫoʊn/	n. 贷款；暂借 v. 借出
peach	/ˈpitʃ/	n. 桃子，桃树
danger	/ˈdeɪndʒɝ/	n. 危险；危险事物
horsepower	/ˈhɔɹˌspaʊɝ/	n. 马力
prevent	/pɹiˈvɛnt/, /pɹɪˈvɛnt/	v. 预防，防止；阻止
yield	/ˈjiɫd/	v. 出产 n. 产量
punch	/ˈpəntʃ/	v. 用拳猛击 n. 冲压机
calculator	/ˈkæɫkjəˌɫeɪtɝ/	n. 计算器，计算者
plate	/ˈpɫeɪt/	n. 盘 v. 电镀
disclose	/dɪˈskɫoʊz/	v. 揭开，揭发；透露
communication	/kəmˌjunəˈkeɪʃən/	n. 通讯；传达；交通
slide	/ˈsɫaɪd/	v. 滑 n. 滑
candidate	/ˈkændədeɪt/, /ˈkænədɪt/	n. 候选人；投考者
mount	/ˈmaʊnt/	v. 登上，爬上 n. …山
rat	/ˈɹæt/	n. 老鼠，耗子
neighbour	/ˈneɪbɝ/	n. 邻居，邻人；邻国
ceremony	/ˈsɛɹəˌmoʊni/	n. 典礼，仪式；礼节
fiction	/ˈfɪkʃən/	n. 小说；虚构，杜撰
determine	/dəˈtɝmən/, /dɪˈtɝmən/	v. 查明；决定；决心
plan	/ˈpɫæn/	n. 计划，打算 v. 计划；打算
Greek	/ˈɡɹik/	adj. 希腊的 n. 希腊人
party	/ˈpɑɹti/	n. 聚会；党，党派
further	/ˈfɝðɝ/	adv. 更远地 adj. 更远的
radio	/ˈɹeɪdiˌoʊ/	n. 无线电；收音机
contribute	/kənˈtɹɪbjut/	v. 捐献，捐助；投稿
catalog	/ˈkætəɫɔɡ/	n. 目录，目录册
coward	/ˈkaʊɝd/	n. 懦夫；胆怯者
apply	/əˈpɫaɪ/	v. 应用，实施，使用
throat	/ˈθɹoʊt/	n. 咽喉，喉咙；嗓音
ice	/ˈaɪs/	n. 冰，冰块 v. 冰敷
piano	/piˈænə/, /piˈænoʊ/	n. 钢琴
discuss	/dɪˈskəs/	v. 讨论，谈论；论述
neat	/ˈnit/	adj. 整洁的
refresh	/ɹɪˈfɹɛʃ/	v. 使清新；恢复精神
curiosity	/ˌkjʊɹiˈɑsəti/	n. 好奇，好奇心；珍品
divide	/dɪˈvaɪd/	v. 分；分开；分配
leader	/ˈɫidɝ/	n. 领袖，领导人；首领
fibre	/ˈfaɪbɝ/	n. 纤维质；纤维
trim	/ˈtɹɪm/	adj. 整齐的 v. 使整齐
baby	/ˈbeɪbi/	n. 婴儿；孩子气的人
wooden	/ˈwʊdən/	adj. 木制的；呆板的
clap	/ˈkɫæp/	v. 拍手；拍，轻拍
vibrate	/ˈvaɪbɹeɪt/	v. 使颤动
honest	/ˈɑnəst/	adj. 诚实的
necklace	/ˈnɛkɫəs/	n. 项链，项圈
blame	/ˈbɫeɪm/	v. 责备，把…归咎于
substance	/ˈsəbstəns/	n. 物质；实质；本旨
merry	/ˈmɛɹi/	adj. 欢乐的，愉快的
fountain	/ˈfaʊntən/	n. 泉水，喷泉；源泉
surroundings	/sɝˈaʊndɪŋz/	n. 周围的事物，环境
chair	/ˈtʃɛɹ/	n. 椅子；主席
procession	/pɹəˈsɛʃən/, /pɹoʊˈsɛʃən/	n. 队伍，行列
back	/ˈbæk/	adv. 回原处；回；在后
jacket	/ˈdʒækət/, /ˈdʒækɪt/	n. 短上衣，茄克衫
rifle	/ˈɹaɪfəɫ/	n. 步枪，来复枪
our	/ˈaʊɝ/, /ˈaʊɹ/, /ˈɑɹ/	pron. 我们的
low	/ˈɫoʊ/	adj. 低的；矮的；低下的
opponent	/əˈpoʊnənt/	n. 对手，敌手；对抗者
pretend	/pɹiˈtɛnd/	v. 假装
bathroom	/ˈbæˌθɹum/	n. 浴室；盥洗室
champion	/ˈtʃæmpiən/	n. 冠军，得胜者
jump	/ˈdʒəmp/	v. 跳；暴涨
count	/ˈkaʊnt/	v. 计算；数，计数
vivid	/ˈvɪvəd/, /ˈvɪvɪd/	adj. 生动的；鲜艳的
biscuit	/ˈbɪskət/	n. （英）饼干；（美）软饼
orange	/ˈɔɹəndʒ/, /ˈɔɹɪndʒ/	n. 橙（树）；柑（树）
advantage	/ædˈvæntɪdʒ/	n. 优势；优点；好处
upper	/ˈəpɝ/	adj. 上面的；地位较高的
senior	/ˈsinjɝ/	adj. 地位较高的
regular	/ˈɹeɪɡjəɫɝ/, /ˈɹɛɡjəɫɝ/	adj. 规则的；整齐的
majority	/məˈdʒɔɹəti/	n. 多数，大多数
blossom	/ˈbɫɑsəm/	n. 花；开花 v. 开花
heading	/ˈhɛdɪŋ/	n. 标题，题词，题名
fridge	/ˈfɹɪdʒ/	n. 电冰箱
destruction	/dɪˈstɹəkʃən/	n. 破坏，毁灭，消灭
commerce	/ˈkɑmɝs/	n. 商业，贸易；社交
transmission	/tɹænsˈmɪʃən/, /tɹænzˈmɪʃən/	n. 传送；传动；发射
German	/ˈdʒɝmən/	adj. 德国的 n. 德国人
elsewhere	/ˈɛɫˌswɛɹ/	adv. 在别处，向别处
British	/ˈbɹɪtɪʃ/	adj. 不列颠的，英联邦的
discover	/dɪˈskəvɝ/	v. 发现
series	/ˈsɪɹiz/	n. 连续，系列；丛书
personnel	/ˌpɝsəˈnɛɫ/	n. 全体人员，全体职员
faulty	/ˈfɔɫti/	adj. 有缺点的；有错误的
inherit	/ˌɪnˈhɛɹət/	v. 继承（传统等）
famous	/ˈfeɪməs/	adj. 著名的，出名的
only	/ˈoʊnɫi/	adv. 只，仅仅 adj. 唯一的
resolve	/ɹiˈzɑɫv/	v. 解决；决心 n. 决心
gold	/ˈɡoʊɫd/	n. 金 adj. 金制的
leisure	/ˈɫɛʒɝ/, /ˈɫiʒɝ/	n. 空闲时间；悠闲
breathe	/ˈbɹið/	v. 呼吸
metre	/ˈmitɝ/	n. 米，公尺
rainbow	/ˈɹeɪnˌboʊ/	n. 虹，彩虹
furniture	/ˈfɝnɪtʃɝ/	n. 家具
outer	/ˈaʊtɝ/	adj. 外部的，外面的
college	/ˈkɑɫɪdʒ/	n. 学院；大学
mother	/ˈməðɝ/	n. 母亲，妈妈
hour	/ˈaʊɝ/, /ˈaʊɹ/	n. 小时；时间；时刻
respective	/ɹiˈspɛktɪv/, /ɹɪˈspɛktɪv/	adj. 各自的，各个的
crop	/ˈkɹɑp/	n. 农作物，庄稼；一熟：一季的收成
feel	/ˈfiɫ/	v. 有知觉；触，摸
ounce	/ˈaʊns/	n. 盎司，英两
handle	/ˈhændəɫ/	n. 柄，把手 v. 拿，触
active	/ˈæktɪv/	adj. 活跃的；积极的
conservation	/ˌkɑnsɝˈveɪʃən/	n. 保存，保护
game	/ˈɡeɪm/	n. 游戏；比赛；猎物
devil	/ˈdɛvəɫ/	n. 魔鬼，恶魔
imagination	/ˌɪˌmædʒəˈneɪʃən/	n. 想象；想象力；空想
opinion	/əˈpɪnjən/	n. 意见，看法，主张
maid	/ˈmeɪd/	n. 女佣，女仆；少女
admire	/ædˈmaɪɹ/	v. 钦佩，羡慕，赞赏
yard	/ˈjɑɹd/	n. 院子，庭院；场地
doctor	/ˈdɑktɝ/, /ˈdɔktɝ/	n. 医生，医师；博士
dam	/ˈdæm/	n. 水坝，水堤；障碍物
ripe	/ˈɹaɪp/	adj. 熟的；时机成熟的
soil	/ˈsɔɪɫ/	v. 弄脏
earth	/ˈɝθ/	n. 地球；陆地，地面
alphabet	/ˈæɫfəˌbɛt/	n. 字母表，字母系统
lucky	/ˈɫəki/	adj. 幸运的；吉祥的
waggon	 n. 四轮运货马车
restore	/ɹɪˈstɔɹ/	v. 恢复；修补；归还
complicated	/ˈkɑmpɫəˌkeɪtəd/	adj. 难懂的；复杂的
regret	/ɹəˈɡɹɛt/, /ɹɪˈɡɹɛt/	v. 懊悔；抱歉 n. 懊悔
rack	/ˈɹæk/	n. 搁物架；行李架
lace	/ˈɫeɪs/	n. 鞋带，系带；花边
jolly	/ˈdʒɑɫi/	adj. 快活的；令人高兴的
area	/ˈɛɹiə/	n. 地区；面积；领域
Oceania	/ˌoʊˌʃiˈænjə/	n. 大洋洲
chemical	/ˈkɛməkəɫ/, /ˈkɛmɪkəɫ/	adj. 化学的 n. 化学制品
ocean	/ˈoʊʃən/	n. 海洋；洋
lord	/ˈɫɔɹd/	n. 贵族；上帝
intelligent	/ˌɪnˈtɛɫədʒənt/	adj. 聪明的；理智的
loop	/ˈɫup/	n. 圈，环，环孔
greedy	/ˈɡɹidi/	adj. 贪吃的；贪婪的
everything	/ˈɛvɹiˌθɪŋ/	pron. 每件事，事事
feedback	/ˈfidˌbæk/	n. 反馈
total	/ˈtoʊtəɫ/	adj. 总的 v. 合计，总共
ad	/ˈæd/	n. 广告
check	/ˈtʃɛk/	v. 检查；制止 n. 检查
create	/kɹiˈeɪt/	v. 创造；引起，产生
cheap	/ˈtʃip/	adj. 廉价的；劣质的
reject	/ˈɹidʒɛkt/, /ɹɪˈdʒɛkt/	v. 拒绝；驳回；丢掉
anyway	/ˈɛniˌweɪ/	adv. 无论如何
decorate	/ˈdɛkɝˌeɪt/	v. 装饰，装璜，修饰
string	/ˈstɹɪŋ/	n. 线，细绳；一串
moisture	/ˈmɔɪstʃɝ/	n. 潮湿，湿气
memory	/ˈmɛmɝi/	n. 记忆；回忆；存储
accept	/ækˈsɛpt/, /əkˈsɛpt/	v. 接受；同意
behind	/bɪˈhaɪnd/	prep. 在…后面
investment	/ˌɪnˈvɛsmənt/, /ˌɪnˈvɛstmənt/	n. 投资，投资额；投入
false	/ˈfɔɫs/	adj. 不真实的；伪造的
increase	/ˈɪnˌkɹis/, /ˌɪnˈkɹis/	v. 增加 n. 增加
guest	/ˈɡɛst/	n. 客人，宾客；旅客
constitution	/ˌkɑnstəˈtuʃən/	n. 章程；体质；构造
illegal	/ˌɪˈɫiɡəɫ/	adj. 不合法的，非法的
carriage	/ˈkæɹɪdʒ/, /ˈkɛɹədʒ/	n. 四轮马车；客车厢
summarize	/ˈsəmɝˌaɪz/	v. 概括，概述，总结
raw	/ˈɹɑ/	adj. 未煮过的；未加工的
extension	/ɪkˈstɛnʃən/	n. 延长部分；伸展
polite	/pəˈɫaɪt/	adj. 有礼貌的；有教养的
broom	/ˈbɹum/	n. 扫帚
thereby	/ˈðɛɹˈbaɪ/	adv. 因此，从而，由此
threat	/ˈθɹɛt/	n. 威胁，恐吓；凶兆
justify	/ˈdʒəstəˌfaɪ/	v. 证明…是正当的
strategy	/ˈstɹætədʒi/	n. 战略；策略
box	/ˈbɑks/	n. 箱，盒；包厢
simplify	/ˈsɪmpɫəˌfaɪ/	v. 简化，使单纯
usage	/ˈjusədʒ/, /ˈjusɪdʒ/	n. 使用，对待；惯用法
aloud	/əˈɫaʊd/	adv. 出声地；大声地
delight	/dɪˈɫaɪt/	n. 快乐 v. 使高兴
cripple	/ˈkɹɪpəɫ/	n. 跛子；残疾人
cigaret	 n. 香烟，纸烟，卷烟
square	/ˈskwɛɹ/	n. 正方形；广场
pray	/ˈpɹeɪ/	v. 祈祷；请求
attraction	/əˈtɹækʃən/	n. 吸引；吸引力；引力
reputation	/ˌɹɛpjəˈteɪʃən/	n. 名誉，名声；好名声
decrease	/ˈdiˌkɹis/, /dɪˈkɹis/	v. 减少 n. 减少
cave	/ˈkeɪv/	n. 山洞，洞穴，窑洞
banana	/bəˈnænə/	n. 香蕉；芭蕉属植物
unknown	/ənˈnoʊn/	adj. 不知道的；未知的
despite	/dɪˈspaɪt/	prep. 尽管，虽然，任凭
transportation	/ˌtɹænspɝˈteɪʃən/	n. 运输，运送，客运
collar	/ˈkɑɫɝ/	n. 衣领；项圈
lean	/ˈɫin/	v. 倾斜，屈身；靠
undergraduate	/ˌəndɝˈɡɹædʒəwət/	n. 大学在校生
material	/məˈtɪɹiəɫ/	n. 材料；素材 adj. 物质的
neutral	/ˈnutɹəɫ/	adj. 中立的；中性的
male	/ˈmeɪɫ/	adj. 男的，雄的 n. 男子
circle	/ˈsɝkəɫ/	n. 圆；圆周；圈子
thickness	/ˈθɪknəs/	n. 厚（度）；密（度）
news	/ˈnjuz/, /ˈnuz/	n. 新闻；消息
wicked	/ˈwɪkəd/	adj. 坏的；令人厌恶的
suspicious	/səˈspɪʃəs/	adj. 怀疑的；可疑的
shoot	/ˈʃut/	v. 发射；射中 n. 芽
publication	/ˌpəbɫɪˈkeɪʃən/	n. 出版；出版物；公布
possibility	/ˌpɑsəˈbɪɫəˌti/	n. 可能；可能的事
lie	/ˈɫaɪ/	v. 躺；平放；位于
quarrel	/ˈkwɔɹəɫ/	n. 争吵，吵架，口角
here	/ˈhiɹ/	adv. 这里；向这里
scrape	/ˈskɹeɪp/	v. 刮；擦 n. 刮；擦伤；擦痕
example	/ɪɡˈzæmpəɫ/	n. 例子，实例；模范
Bible	/ˈbaɪbəɫ/	n. 基督教《圣经》
stability	/stəˈbɪɫɪti/	n. 稳定；稳定性
equip	/ɪˈkwɪp/	v. 装备，配备
forest	/ˈfɔɹəst/, /ˈfɔɹɪst/	n. 森林；森林地带
reasonable	/ˈɹizənəbəɫ/, /ˈɹiznəbəɫ/	adj. 合情合理的；公道的
quit	/ˈkwɪt/	v. 离开，退出；退出；停止
lower	/ˈɫoʊɝ/	adj. 较低的 v. 放下
beneath	/bɪˈniθ/	prep. 在…下方
transform	/ˈtɹænsfɔɹm/, /tɹænsˈfɔɹm/	v. 改变；改造；变换
musician	/mjuˈzɪʃən/	n. 音乐家；作曲家
attribute	/ˈætɹəbˌjut/, /əˈtɹɪbˌjut/	v. 把…归因于 n. 属性
saddle	/ˈsædəɫ/	n. 鞍子，马鞍
trunk	/ˈtɹəŋk/	n. 树干；大衣箱，皮箱
submit	/səbˈmɪt/	v. 服从
customer	/ˈkəstəmɝ/	n. 顾客，主顾
observation	/ˌɑbzɝˈveɪʃən/	n. 注意；观察；观察力
moderate	/ˈmɑdɝˌeɪt/, /ˈmɑdɝət/	adj. 温和的；有节制的
cope	/ˈkoʊp/	v. 对付，应付
king	/ˈkɪŋ/	n. 国王，君主
reaction	/ɹiˈækʃən/	n. 反应；反作用力
outlook	/ˈaʊtˌɫʊk/	n. 观点，看法；展望
member	/ˈmɛmbɝ/	n. 成员，会员
passport	/ˈpæsˌpɔɹt/	n. 护照
reduction	/ɹəˈdəkʃən/, /ɹiˈdəkʃən/	n. 减少，减小，缩减
childhood	/ˈtʃaɪɫdˌhʊd/	n. 童年，幼年；早期
corner	/ˈkɔɹnɝ/	n. 角；边远地区
grandmother	/ˈɡɹændˌməðɝ/	n. 祖母，外祖母
lightning	/ˈɫaɪtnɪŋ/	n. 闪电，闪电放电
of	/ˈəv/	prep. …的；由于
classification	/ˌkɫæsəfəˈkeɪʃən/	n. 分类；分级；分类法
tension	/ˈtɛnʃən/	n. 紧张，不安；拉紧；张力
strip	/ˈstɹɪp/	v. 剥去；除去 n. 条，带
interpretation	/ˌɪnˌtɝpɹɪˈteɪʃən/	n. 解释
condemn	/kənˈdɛm/	v. 谴责，指责；判刑
previous	/ˈpɹiviəs/	adj. 先的；前的
hopeful	/ˈhoʊpfəɫ/	adj. 有希望的
invisible	/ˌɪnˈvɪzəbəɫ/	adj. 看不见的；无形的
occasion	/əˈkeɪʒən/	n. 场合；时刻；时机
noun	/ˈnaʊn/	n. 名词
blend	/ˈbɫɛnd/	v. 混和 n. 混和物
colleague	/ˈkɑɫiɡ/	n. 同事，同僚
electronic	/ˌɪˌɫɛkˈtɹɑnɪk/	adj. 电子的
fire	/ˈfaɪɝ/, /ˈfaɪɹ/	n. 火；火灾 v. 开火
layer	/ˈɫeɪɝ/	n. 层；层次
fade	/ˈfeɪd/	v. 逐渐消失；褪色
ahead	/əˈhɛd/	adv. 向前；在前；提前
chop	/ˈtʃɑp/	v. 砍，劈；切细
gulf	/ˈɡəɫf/	n. 海湾
convenient	/kənˈvinjənt/	adj. 便利的；近便的
eleven	/ˈiɫɛvən/, /ɪˈɫɛvən/	num. 十一，十一个
by	/ˈbaɪ/	prep. 在…旁；被，由
Australian	/ɔˈstɹeɪɫjən/	adj. 澳大利亚的
main	/ˈmeɪn/	adj. 主要的，最重要的
candy	/ˈkændi/	n. 糖果
bacteria	/bækˈtɪɹiə/	n. 细菌
repeatedly	/ɹɪˈpitɪdɫi/	adv. 重复地；一再
explanation	/ˌɛkspɫəˈneɪʃən/	n. 解释，说明；辩解
impact	/ˈɪmpækt/, /ˌɪmˈpækt/	n. 影响，作用；冲击
mainly	/ˈmeɪnɫi/	adv. 主要地，大体上
administration	/ædˌmɪnɪˈstɹeɪʃən/	n. 管理；管理部门
skillful	/ˈskɪɫfəɫ/	adj. 灵巧的，娴熟的
data	/ˈdætə/, /ˈdeɪtə/	n. 数据；资料
pollution	/pəˈɫuʃən/	n. 污染
possession	/pəˈzɛʃən/	n. 有，所有；占有物
manly	/ˈmænɫi/	adj. 男子气概的，果断的
reverse	/ɹiˈvɝs/, /ɹɪˈvɝs/	v. 颠倒；翻转 n. 背面
gallon	/ˈɡæɫən/	n. 加仑
have	/ˈhæv/	aux v. （与过去分词连用构成完成时） v. 有；吃
boy	/ˈbɔɪ/	n. 男孩，少年；家伙
Mister	/ˈmɪstɝ/	n. 先生
crawl	/ˈkɹɔɫ/	v. 爬，爬行
employment	/ɛmˈpɫɔɪmənt/, /ɪmˈpɫɔɪmənt/	n. 工作；职业；雇用；使用
dread	/ˈdɹɛd/	n. 畏惧；恐怖 v. 惧怕
difficult	/ˈdɪfəkəɫt/	adj. 困难的；难对付的
aggressive	/əˈɡɹɛsɪv/	adj. 侵略的；好斗的
elder	/ˈɛɫdɝ/	adj. 年龄较大的 n. 长者
twin	/ˈtwɪn/	adj. 孪生的 n. 孪生儿
furnace	/ˈfɝnəs/	n. 炉子，熔炉；鼓风炉
political	/pəˈɫɪtəkəɫ/, /pəˈɫɪtɪkəɫ/	adj. 政治的，政治上的
statue	/ˈstæˌtʃu/	n. 塑像，雕像，铸像
geometry	/dʒiˈɑmətɹi/	n. 几何，几何学
union	/ˈjunjən/	n. 协会；联合
accord	/əˈkɔɹd/	v. 给予；使一致
terminal	/ˈtɝmənəɫ/	adj. 末端的 n. 〔飞机、公共汽车、轮船客运或货物运输的〕集散站，终点站
petroleum	/pəˈtɹoʊɫiəm/	n. 石油
northwest	/ˌnɔɹθˈwɛst/	n. 西北 adj. 位于西北的
wool	/ˈwʊɫ/	n. 羊毛；毛线，绒线
hollow	/ˈhɑɫoʊ/	adj. 空的；空洞的
mission	/ˈmɪʃən/	n. 使命，任务；使团
lantern	/ˈɫæntɝn/	n. 提灯，灯笼
earnest	/ˈɝnɪst/	adj. 认真的，诚恳的
lavatory	/ˈɫævəˌtɔɹi/	n. 盥洗室，厕所
oneself	/ˌwənˈsɛɫf/	pron. 自己；亲自
familiar	/fəˈmɪɫjɝ/	adj. 熟悉的
rocket	/ˈɹɑkət/	n. 火箭，火箭发动机
veteran	/ˈvɛtɝən/, /ˈvɛtɹən/	n. 老兵；老手
declare	/dɪˈkɫɛɹ/	v. 断言；声明；表明
span	/ˈspæn/	n. 持续时间；跨距
bunch	/ˈbəntʃ/	n. 束，串；一群
approve	/əˈpɹuv/	v. 批准；赞成，称许
hobby	/ˈhɑbi/	n. 业余爱好，癖好
pea	/ˈpi/	n. 豌豆；豌豆属植物
collapse	/kəˈɫæps/	v. 倒坍；崩溃，瓦解
insect	/ˈɪnˌsɛkt/	n. 昆虫，虫
he	/ˈhi/	pron. （主格）他
eat	/ˈit/	v. 吃
add	/ˈæd/	v. 添加，附加，掺加
growth	/ˈɡɹoʊθ/	n. 增长；增长量；生长
strange	/ˈstɹeɪndʒ/	adj. 陌生的；奇怪的
invention	/ˌɪnˈvɛnʃən/	n. 发明，创造；捏造， 假话
female	/ˈfiˌmeɪɫ/	n. 雌性的动物；女性
disaster	/dɪˈzæstɝ/	n. 灾难，灾祸；天灾
headache	/ˈhɛˌdeɪk/	n. 头痛；头痛的事
comment	/ˈkɑmɛnt/	n. 评论，意见；批评；指责
damage	/ˈdæmədʒ/, /ˈdæmɪdʒ/	v. 损害，毁坏 n. 损害
assure	/əˈʃʊɹ/	v. 使确信；向…保证
store	/ˈstɔɹ/	n. 商店；贮藏；贮存品
withdraw	/wɪðˈdɹɔ/, /wɪθˈdɹɔ/	v. 撤退；收回；撤回
conduct	/ˈkɑndəkt/, /kɑnˈdəkt/	n. 举止，行为
bulb	/ˈbəɫb/	n. 电灯泡
alcohol	/ˈæɫkəˌhɑɫ/	n. 酒精，乙醇
bitter	/ˈbɪtɝ/	adj. 痛苦的；严寒的
respond	/ɹiˈspɑnd/, /ɹɪˈspɑnd/	v. 作答；响应
naked	/ˈneɪkəd/	adj. 裸体的；无遮敝的
radar	/ˈɹeɪˌdɑɹ/	n. 雷达，无线电探测器
birthday	/ˈbɝθˌdeɪ/	n. 生日；诞生的日期
precise	/pɹiˈsaɪs/, /pɹɪˈsaɪs/	adj. 精确的，准确的
emerge	/ˈimɝdʒ/, /ɪˈmɝdʒ/	v. 出现，涌现；冒出
reality	/ˌɹiˈæɫəˌti/	n. 现实；真实
wing	/ˈwɪŋ/	n. 翼，翅膀，翅
gauge	/ˈɡeɪdʒ/	v. 量，测量 n. 量器
give	/ˈɡɪv/	v. 做，作；送给
end	/ˈɛnd/	n. 末端；目标 v. 结束
rust	/ˈɹəst/	n. 锈 v. 生锈，氧化
disagree	/dɪsəˈɡɹi/	v. 有分歧；不一致
engineer	/ˈɛndʒəˈnɪɹ/	n. 工程师，技师
expert	/ˈɛkspɝt/	n. 专家 adj. 熟练的
plain	/ˈpɫeɪn/	n. 平原 adj. 清楚的
philosopher	/fəˈɫɑsəfɝ/	n. 哲学家
eastern	/ˈistɝn/	adj. 朝东的；东方的
automobile	/ˈɔtəmoʊˌbiɫ/, /ˌɔtəmoʊˈbiɫ/	n. 汽车，机动车
noon	/ˈnun/	n. 正午，中午
region	/ˈɹidʒən/	n. 地区，地带；领域
transformation	/ˌtɹænsfɝˈmeɪʃən/	n. 变化；改造；转变
benefit	/ˈbɛnəfɪt/	n. 利益；恩惠；津贴
least	/ˈɫist/	det,pron. 最少的 adv. 最少
grind	/ˈɡɹaɪnd/	v. 磨（碎）；磨利
do	/ˈdu/	aux. （用于实义动词前构成否定句和疑问句） v. 做，干，办
national	/ˈnæʃənəɫ/, /ˈnæʃnəɫ/	adj. 民族的；国家的
excursion	/ɪkˈskɝʒən/	n. 远足；短途旅行
haste	/ˈheɪst/	n. 急速，急忙；草率
suit	/ˈsut/	n. 起诉，诉讼 v. 适合
stock	/ˈstɑk/	n. 库存品；股本
needless	/ˈnidɫəs/	adj. 不需要的
laser	/ˈɫeɪzɝ/	n. 激光
boot	/ˈbut/	n. 靴子，长统靴
pain	/ˈpeɪn/	n. 痛，疼痛；辛苦
stale	/ˈsteɪɫ/	n. 陈腐的；走了气的
habitual	/həˈbɪtʃuəɫ/	adj. 习惯性的，惯常的
erect	/ɪˈɹɛkt/	v. 建造；使竖立
noticeable	/ˈnoʊtəsəbəɫ/	adj. 显而易见的
hate	/ˈheɪt/	v. 恨，憎恨；不喜欢
orderly	/ˈɔɹdɝɫi/	adj. 整洁的；有秩序的
menu	/ˈmɛnju/	n. 菜单
fair	/ˈfɛɹ/	adj. 公平的；相当的
point	/ˈpɔɪnt/	n. 点；要点；细目；分
live	/ˈɫaɪv/, /ˈɫɪv/	v. 居住；活 adj. 活的
altitude	/ˈæɫtəˌtud/	n. 高，高度；高处
horizon	/hɝˈaɪzən/	n. 地平线；眼界，见识
similarly	/ˈsɪməɫɝɫi/	adv. 类似地，相似地
protein	/ˈpɹoʊˌtin/	n. 蛋白质，朊
